Subject_ID_N,Subject_ID_D,device_id,device_episode_index,n_devices_for_subject,table_name,window_name,window_start_ms,window_end_ms,window_start_iso,window_end_iso,n_rows,first_timestamp_ms,last_timestamp_ms,first_day_local,last_day_local,n_days_with_data,coverage_status,error_type,error_message,query_stage,coverage_note
44,044,6faf770c-e0bf-4100-9b63-c6167630c854,1,3,locations,full_T1_T2_window,1737324000000,1757365199999,2025-01-20,2025-09-08,0,,,,,,skipped_long_full_window,full_window_guard,full window span >45 days skipped to avoid long-running query,full_window_span_guard,"intentional safety skip, not a DB error"
44,044,6faf770c-e0bf-4100-9b63-c6167630c854,1,3,applications_foreground,early_window,1737324000000,1737928800000,2025-01-20 00:00:00+0200,2025-01-27 00:00:00+0200,0,,,,,0,ok_no_data,,,early_late_count_min_max_days,
44,044,6faf770c-e0bf-4100-9b63-c6167630c854,1,3,applications_foreground,late_window,1756674000000,1757278800000,2025-09-01 00:00:00+0300,2025-09-08 00:00:00+0300,762,1756674588339,1757265591549,2025-09-01,2025-09-07,8,ok_has_data,,,early_late_count_min_max_days,
44,044,6faf770c-e0bf-4100-9b63-c6167630c854,1,3,applications_foreground,full_T1_T2_window,1737324000000,1757365199999,2025-01-20,2025-09-08,0,,,,,,skipped_long_full_window,full_window_guard,full window span >45 days skipped to avoid long-running query,full_window_span_guard,"intentional safety skip, not a DB error"
44,044,6faf770c-e0bf-4100-9b63-c6167630c854,1,3,keyboard,early_window,1737324000000,1737928800000,2025-01-20 00:00:00+0200,2025-01-27 00:00:00+0200,0,,,,,0,ok_no_data,,,early_late_count_min_max_days,
44,044,6faf770c-e0bf-4100-9b63-c6167630c854,1,3,keyboard,late_window,1756674000000,1757278800000,2025-09-01 00:00:00+0300,2025-09-08 00:00:00+0300,50,1756708205702,1757097896106,2025-09-01,2025-09-05,3,ok_has_data,,,early_late_count_min_max_days,
44,044,6faf770c-e0bf-4100-9b63-c6167630c854,1,3,keyboard,full_T1_T2_window,1737324000000,1757365199999,2025-01-20,2025-09-08,0,,,,,,skipped_long_full_window,full_window_guard,full window span >45 days skipped to avoid long-running query,full_window_span_guard,"intentional safety skip, not a DB error"
44,044,6faf770c-e0bf-4100-9b63-c6167630c854,1,3,touch,early_window,1737324000000,1737928800000,2025-01-20 00:00:00+0200,2025-01-27 00:00:00+0200,0,,,,,0,ok_no_data,,,early_late_count_min_max_days,
44,044,6faf770c-e0bf-4100-9b63-c6167630c854,1,3,touch,late_window,1756674000000,1757278800000,2025-09-01 00:00:00+0300,2025-09-08 00:00:00+0300,0,,,,,0,ok_no_data,,,early_late_count_min_max_days,
44,044,6faf770c-e0bf-4100-9b63-c6167630c854,1,3,touch,full_T1_T2_window,1737324000000,1757365199999,2025-01-20,2025-09-08,0,,,,,,skipped_long_full_window,full_window_guard,full window span >45 days skipped to avoid long-running query,full_window_span_guard,"intentional safety skip, not a DB error"
44,044,6faf770c-e0bf-4100-9b63-c6167630c854,1,3,gsm,early_window,1737324000000,1737928800000,2025-01-20 00:00:00+0200,2025-01-27 00:00:00+0200,0,,,,,0,ok_no_data,,,early_late_count_min_max_days,
44,044,6faf770c-e0bf-4100-9b63-c6167630c854,1,3,gsm,late_window,1756674000000,1757278800000,2025-09-01 00:00:00+0300,2025-09-08 00:00:00+0300,0,,,,,0,ok_no_data,,,early_late_count_min_max_days,
44,044,6faf770c-e0bf-4100-9b63-c6167630c854,1,3,gsm,full_T1_T2_window,1737324000000,1757365199999,2025-01-20,2025-09-08,0,,,,,,skipped_long_full_window,full_window_guard,full window span >45 days skipped to avoid long-running query,full_window_span_guard,"intentional safety skip, not a DB error"
44,044,6faf770c-e0bf-4100-9b63-c6167630c854,1,3,gsm_neighbor,early_window,1737324000000,1737928800000,2025-01-20 00:00:00+0200,2025-01-27 00:00:00+0200,0,,,,,0,ok_no_data,,,early_late_count_min_max_days,
44,044,6faf770c-e0bf-4100-9b63-c6167630c854,1,3,gsm_neighbor,late_window,1756674000000,1757278800000,2025-09-01 00:00:00+0300,2025-09-08 00:00:00+0300,0,,,,,0,ok_no_data,,,early_late_count_min_max_days,
44,044,6faf770c-e0bf-4100-9b63-c6167630c854,1,3,gsm_neighbor,full_T1_T2_window,1737324000000,1757365199999,2025-01-20,2025-09-08,0,,,,,,skipped_long_full_window,full_window_guard,full window span >45 days skipped to avoid long-running query,full_window_span_guard,"intentional safety skip, not a DB error"
44,044,6faf770c-e0bf-4100-9b63-c6167630c854,1,3,telephony,early_window,1737324000000,1737928800000,2025-01-20 00:00:00+0200,2025-01-27 00:00:00+0200,0,,,,,0,ok_no_data,,,early_late_count_min_max_days,
44,044,6faf770c-e0bf-4100-9b63-c6167630c854,1,3,telephony,late_window,1756674000000,1757278800000,2025-09-01 00:00:00+0300,2025-09-08 00:00:00+0300,0,,,,,0,ok_no_data,,,early_late_count_min_max_days,
44,044,6faf770c-e0bf-4100-9b63-c6167630c854,1,3,telephony,full_T1_T2_window,1737324000000,1757365199999,2025-01-20,2025-09-08,0,,,,,,skipped_long_full_window,full_window_guard,full window span >45 days skipped to avoid long-running query,full_window_span_guard,"intentional safety skip, not a DB error"
44,044,6faf770c-e0bf-4100-9b63-c6167630c854,1,3,plugin_google_activity_recognition,early_window,1737324000000,1737928800000,2025-01-20 00:00:00+0200,2025-01-27 00:00:00+0200,0,,,,,0,ok_no_data,,,early_late_count_min_max_days,
44,044,6faf770c-e0bf-4100-9b63-c6167630c854,1,3,plugin_google_activity_recognition,late_window,1756674000000,1757278800000,2025-09-01 00:00:00+0300,2025-09-08 00:00:00+0300,0,,,,,0,ok_no_data,,,early_late_count_min_max_days,
44,044,6faf770c-e0bf-4100-9b63-c6167630c854,1,3,plugin_google_activity_recognition,full_T1_T2_window,1737324000000,1757365199999,2025-01-20,2025-09-08,0,,,,,,skipped_long_full_window,full_window_guard,full window span >45 days skipped to avoid long-running query,full_window_span_guard,"intentional safety skip, not a DB error"
44,044,86994e75-0c10-40f6-9c55-1cfc9d05856e,2,3,aware_log,early_window,1737324000000,1737928800000,2025-01-20 00:00:00+0200,2025-01-27 00:00:00+0200,0,,,,,0,ok_no_data,,,early_late_count_min_max_days,
44,044,86994e75-0c10-40f6-9c55-1cfc9d05856e,2,3,aware_log,late_window,1756674000000,1757278800000,2025-09-01 00:00:00+0300,2025-09-08 00:00:00+0300,0,,,,,0,ok_no_data,,,early_late_count_min_max_days,
44,044,86994e75-0c10-40f6-9c55-1cfc9d05856e,2,3,aware_log,full_T1_T2_window,1737324000000,1757365199999,2025-01-20,2025-09-08,0,,,,,,skipped_long_full_window,full_window_guard,full window span >45 days skipped to avoid long-running query,full_window_span_guard,"intentional safety skip, not a DB error"
44,044,86994e75-0c10-40f6-9c55-1cfc9d05856e,2,3,battery,early_window,1737324000000,1737928800000,2025-01-20 00:00:00+0200,2025-01-27 00:00:00+0200,0,,,,,0,ok_no_data,,,early_late_count_min_max_days,
44,044,86994e75-0c10-40f6-9c55-1cfc9d05856e,2,3,battery,late_window,1756674000000,1757278800000,2025-09-01 00:00:00+0300,2025-09-08 00:00:00+0300,0,,,,,0,ok_no_data,,,early_late_count_min_max_days,
44,044,86994e75-0c10-40f6-9c55-1cfc9d05856e,2,3,battery,full_T1_T2_window,1737324000000,1757365199999,2025-01-20,2025-09-08,0,,,,,,skipped_long_full_window,full_window_guard,full window span >45 days skipped to avoid long-running query,full_window_span_guard,"intentional safety skip, not a DB error"
44,044,86994e75-0c10-40f6-9c55-1cfc9d05856e,2,3,screen,early_window,1737324000000,1737928800000,2025-01-20 00:00:00+0200,2025-01-27 00:00:00+0200,0,,,,,0,ok_no_data,,,early_late_count_min_max_days,
44,044,86994e75-0c10-40f6-9c55-1cfc9d05856e,2,3,screen,late_window,1756674000000,1757278800000,2025-09-01 00:00:00+0300,2025-09-08 00:00:00+0300,0,,,,,0,ok_no_data,,,early_late_count_min_max_days,
44,044,86994e75-0c10-40f6-9c55-1cfc9d05856e,2,3,screen,full_T1_T2_window,1737324000000,1757365199999,2025-01-20,2025-09-08,0,,,,,,skipped_long_full_window,full_window_guard,full window span >45 days skipped to avoid long-running query,full_window_span_guard,"intentional safety skip, not a DB error"
44,044,86994e75-0c10-40f6-9c55-1cfc9d05856e,2,3,wifi,early_window,1737324000000,1737928800000,2025-01-20 00:00:00+0200,2025-01-27 00:00:00+0200,0,,,,,0,ok_no_data,,,early_late_count_min_max_days,
44,044,86994e75-0c10-40f6-9c55-1cfc9d05856e,2,3,wifi,late_window,1756674000000,1757278800000,2025-09-01 00:00:00+0300,2025-09-08 00:00:00+0300,0,,,,,0,ok_no_data,,,early_late_count_min_max_days,
44,044,86994e75-0c10-40f6-9c55-1cfc9d05856e,2,3,wifi,full_T1_T2_window,1737324000000,1757365199999,2025-01-20,2025-09-08,0,,,,,,skipped_long_full_window,full_window_guard,full window span >45 days skipped to avoid long-running query,full_window_span_guard,"intentional safety skip, not a DB error"
44,044,86994e75-0c10-40f6-9c55-1cfc9d05856e,2,3,calls,early_window,1737324000000,1737928800000,2025-01-20 00:00:00+0200,2025-01-27 00:00:00+0200,0,,,,,0,ok_no_data,,,early_late_count_min_max_days,
44,044,86994e75-0c10-40f6-9c55-1cfc9d05856e,2,3,calls,late_window,1756674000000,1757278800000,2025-09-01 00:00:00+0300,2025-09-08 00:00:00+0300,0,,,,,0,ok_no_data,,,early_late_count_min_max_days,
44,044,86994e75-0c10-40f6-9c55-1cfc9d05856e,2,3,calls,full_T1_T2_window,1737324000000,1757365199999,2025-01-20,2025-09-08,0,,,,,,skipped_long_full_window,full_window_guard,full window span >45 days skipped to avoid long-running query,full_window_span_guard,"intentional safety skip, not a DB error"
44,044,86994e75-0c10-40f6-9c55-1cfc9d05856e,2,3,messages,early_window,1737324000000,1737928800000,2025-01-20 00:00:00+0200,2025-01-27 00:00:00+0200,0,,,,,0,ok_no_data,,,early_late_count_min_max_days,
44,044,86994e75-0c10-40f6-9c55-1cfc9d05856e,2,3,messages,late_window,1756674000000,1757278800000,2025-09-01 00:00:00+0300,2025-09-08 00:00:00+0300,0,,,,,0,ok_no_data,,,early_late_count_min_max_days,
44,044,86994e75-0c10-40f6-9c55-1cfc9d05856e,2,3,messages,full_T1_T2_window,1737324000000,1757365199999,2025-01-20,2025-09-08,0,,,,,,skipped_long_full_window,full_window_guard,full window span >45 days skipped to avoid long-running query,full_window_span_guard,"intentional safety skip, not a DB error"
44,044,86994e75-0c10-40f6-9c55-1cfc9d05856e,2,3,locations,early_window,1737324000000,1737928800000,2025-01-20 00:00:00+0200,2025-01-27 00:00:00+0200,0,,,,,0,ok_no_data,,,early_late_count_min_max_days,
44,044,86994e75-0c10-40f6-9c55-1cfc9d05856e,2,3,locations,late_window,1756674000000,1757278800000,2025-09-01 00:00:00+0300,2025-09-08 00:00:00+0300,0,,,,,0,ok_no_data,,,early_late_count_min_max_days,
44,044,86994e75-0c10-40f6-9c55-1cfc9d05856e,2,3,locations,full_T1_T2_window,1737324000000,1757365199999,2025-01-20,2025-09-08,0,,,,,,skipped_long_full_window,full_window_guard,full window span >45 days skipped to avoid long-running query,full_window_span_guard,"intentional safety skip, not a DB error"
44,044,86994e75-0c10-40f6-9c55-1cfc9d05856e,2,3,applications_foreground,early_window,1737324000000,1737928800000,2025-01-20 00:00:00+0200,2025-01-27 00:00:00+0200,0,,,,,0,ok_no_data,,,early_late_count_min_max_days,
44,044,86994e75-0c10-40f6-9c55-1cfc9d05856e,2,3,applications_foreground,late_window,1756674000000,1757278800000,2025-09-01 00:00:00+0300,2025-09-08 00:00:00+0300,0,,,,,0,ok_no_data,,,early_late_count_min_max_days,
44,044,86994e75-0c10-40f6-9c55-1cfc9d05856e,2,3,applications_foreground,full_T1_T2_window,1737324000000,1757365199999,2025-01-20,2025-09-08,0,,,,,,skipped_long_full_window,full_window_guard,full window span >45 days skipped to avoid long-running query,full_window_span_guard,"intentional safety skip, not a DB error"
44,044,86994e75-0c10-40f6-9c55-1cfc9d05856e,2,3,keyboard,early_window,1737324000000,1737928800000,2025-01-20 00:00:00+0200,2025-01-27 00:00:00+0200,0,,,,,0,ok_no_data,,,early_late_count_min_max_days,
44,044,86994e75-0c10-40f6-9c55-1cfc9d05856e,2,3,keyboard,late_window,1756674000000,1757278800000,2025-09-01 00:00:00+0300,2025-09-08 00:00:00+0300,0,,,,,0,ok_no_data,,,early_late_count_min_max_days,
44,044,86994e75-0c10-40f6-9c55-1cfc9d05856e,2,3,keyboard,full_T1_T2_window,1737324000000,1757365199999,2025-01-20,2025-09-08,0,,,,,,skipped_long_full_window,full_window_guard,full window span >45 days skipped to avoid long-running query,full_window_span_guard,"intentional safety skip, not a DB error"
44,044,86994e75-0c10-40f6-9c55-1cfc9d05856e,2,3,touch,early_window,1737324000000,1737928800000,2025-01-20 00:00:00+0200,2025-01-27 00:00:00+0200,0,,,,,0,ok_no_data,,,early_late_count_min_max_days,
44,044,86994e75-0c10-40f6-9c55-1cfc9d05856e,2,3,touch,late_window,1756674000000,1757278800000,2025-09-01 00:00:00+0300,2025-09-08 00:00:00+0300,0,,,,,0,ok_no_data,,,early_late_count_min_max_days,
44,044,86994e75-0c10-40f6-9c55-1cfc9d05856e,2,3,touch,full_T1_T2_window,1737324000000,1757365199999,2025-01-20,2025-09-08,0,,,,,,skipped_long_full_window,full_window_guard,full window span >45 days skipped to avoid long-running query,full_window_span_guard,"intentional safety skip, not a DB error"
44,044,86994e75-0c10-40f6-9c55-1cfc9d05856e,2,3,gsm,early_window,1737324000000,1737928800000,2025-01-20 00:00:00+0200,2025-01-27 00:00:00+0200,0,,,,,0,ok_no_data,,,early_late_count_min_max_days,
44,044,86994e75-0c10-40f6-9c55-1cfc9d05856e,2,3,gsm,late_window,1756674000000,1757278800000,2025-09-01 00:00:00+0300,2025-09-08 00:00:00+0300,0,,,,,0,ok_no_data,,,early_late_count_min_max_days,
44,044,86994e75-0c10-40f6-9c55-1cfc9d05856e,2,3,gsm,full_T1_T2_window,1737324000000,1757365199999,2025-01-20,2025-09-08,0,,,,,,skipped_long_full_window,full_window_guard,full window span >45 days skipped to avoid long-running query,full_window_span_guard,"intentional safety skip, not a DB error"
44,044,86994e75-0c10-40f6-9c55-1cfc9d05856e,2,3,gsm_neighbor,early_window,1737324000000,1737928800000,2025-01-20 00:00:00+0200,2025-01-27 00:00:00+0200,0,,,,,0,ok_no_data,,,early_late_count_min_max_days,
44,044,86994e75-0c10-40f6-9c55-1cfc9d05856e,2,3,gsm_neighbor,late_window,1756674000000,1757278800000,2025-09-01 00:00:00+0300,2025-09-08 00:00:00+0300,0,,,,,0,ok_no_data,,,early_late_count_min_max_days,
44,044,86994e75-0c10-40f6-9c55-1cfc9d05856e,2,3,gsm_neighbor,full_T1_T2_window,1737324000000,1757365199999,2025-01-20,2025-09-08,0,,,,,,skipped_long_full_window,full_window_guard,full window span >45 days skipped to avoid long-running query,full_window_span_guard,"intentional safety skip, not a DB error"
44,044,86994e75-0c10-40f6-9c55-1cfc9d05856e,2,3,telephony,early_window,1737324000000,1737928800000,2025-01-20 00:00:00+0200,2025-01-27 00:00:00+0200,0,,,,,0,ok_no_data,,,early_late_count_min_max_days,
44,044,86994e75-0c10-40f6-9c55-1cfc9d05856e,2,3,telephony,late_window,1756674000000,1757278800000,2025-09-01 00:00:00+0300,2025-09-08 00:00:00+0300,0,,,,,0,ok_no_data,,,early_late_count_min_max_days,
44,044,86994e75-0c10-40f6-9c55-1cfc9d05856e,2,3,telephony,full_T1_T2_window,1737324000000,1757365199999,2025-01-20,2025-09-08,0,,,,,,skipped_long_full_window,full_window_guard,full window span >45 days skipped to avoid long-running query,full_window_span_guard,"intentional safety skip, not a DB error"
44,044,86994e75-0c10-40f6-9c55-1cfc9d05856e,2,3,plugin_google_activity_recognition,early_window,1737324000000,1737928800000,2025-01-20 00:00:00+0200,2025-01-27 00:00:00+0200,0,,,,,0,ok_no_data,,,early_late_count_min_max_days,
44,044,86994e75-0c10-40f6-9c55-1cfc9d05856e,2,3,plugin_google_activity_recognition,late_window,1756674000000,1757278800000,2025-09-01 00:00:00+0300,2025-09-08 00:00:00+0300,0,,,,,0,ok_no_data,,,early_late_count_min_max_days,
44,044,86994e75-0c10-40f6-9c55-1cfc9d05856e,2,3,plugin_google_activity_recognition,full_T1_T2_window,1737324000000,1757365199999,2025-01-20,2025-09-08,0,,,,,,skipped_long_full_window,full_window_guard,full window span >45 days skipped to avoid long-running query,full_window_span_guard,"intentional safety skip, not a DB error"
44,044,e2569598-0fd8-4d72-a20e-378428f477a0,3,3,aware_log,early_window,1737324000000,1737928800000,2025-01-20 00:00:00+0200,2025-01-27 00:00:00+0200,0,,,,,0,ok_no_data,,,early_late_count_min_max_days,
44,044,e2569598-0fd8-4d72-a20e-378428f477a0,3,3,aware_log,late_window,1756674000000,1757278800000,2025-09-01 00:00:00+0300,2025-09-08 00:00:00+0300,0,,,,,0,ok_no_data,,,early_late_count_min_max_days,
44,044,e2569598-0fd8-4d72-a20e-378428f477a0,3,3,aware_log,full_T1_T2_window,1737324000000,1757365199999,2025-01-20,2025-09-08,0,,,,,,skipped_long_full_window,full_window_guard,full window span >45 days skipped to avoid long-running query,full_window_span_guard,"intentional safety skip, not a DB error"
44,044,e2569598-0fd8-4d72-a20e-378428f477a0,3,3,battery,early_window,1737324000000,1737928800000,2025-01-20 00:00:00+0200,2025-01-27 00:00:00+0200,0,,,,,0,ok_no_data,,,early_late_count_min_max_days,
44,044,e2569598-0fd8-4d72-a20e-378428f477a0,3,3,battery,late_window,1756674000000,1757278800000,2025-09-01 00:00:00+0300,2025-09-08 00:00:00+0300,0,,,,,0,ok_no_data,,,early_late_count_min_max_days,
44,044,e2569598-0fd8-4d72-a20e-378428f477a0,3,3,battery,full_T1_T2_window,1737324000000,1757365199999,2025-01-20,2025-09-08,0,,,,,,skipped_long_full_window,full_window_guard,full window span >45 days skipped to avoid long-running query,full_window_span_guard,"intentional safety skip, not a DB error"
44,044,e2569598-0fd8-4d72-a20e-378428f477a0,3,3,screen,early_window,1737324000000,1737928800000,2025-01-20 00:00:00+0200,2025-01-27 00:00:00+0200,0,,,,,0,ok_no_data,,,early_late_count_min_max_days,
44,044,e2569598-0fd8-4d72-a20e-378428f477a0,3,3,screen,late_window,1756674000000,1757278800000,2025-09-01 00:00:00+0300,2025-09-08 00:00:00+0300,0,,,,,0,ok_no_data,,,early_late_count_min_max_days,
44,044,e2569598-0fd8-4d72-a20e-378428f477a0,3,3,screen,full_T1_T2_window,1737324000000,1757365199999,2025-01-20,2025-09-08,0,,,,,,skipped_long_full_window,full_window_guard,full window span >45 days skipped to avoid long-running query,full_window_span_guard,"intentional safety skip, not a DB error"
44,044,e2569598-0fd8-4d72-a20e-378428f477a0,3,3,wifi,early_window,1737324000000,1737928800000,2025-01-20 00:00:00+0200,2025-01-27 00:00:00+0200,0,,,,,0,ok_no_data,,,early_late_count_min_max_days,
44,044,e2569598-0fd8-4d72-a20e-378428f477a0,3,3,wifi,late_window,1756674000000,1757278800000,2025-09-01 00:00:00+0300,2025-09-08 00:00:00+0300,0,,,,,0,ok_no_data,,,early_late_count_min_max_days,
44,044,e2569598-0fd8-4d72-a20e-378428f477a0,3,3,wifi,full_T1_T2_window,1737324000000,1757365199999,2025-01-20,2025-09-08,0,,,,,,skipped_long_full_window,full_window_guard,full window span >45 days skipped to avoid long-running query,full_window_span_guard,"intentional safety skip, not a DB error"
44,044,e2569598-0fd8-4d72-a20e-378428f477a0,3,3,calls,early_window,1737324000000,1737928800000,2025-01-20 00:00:00+0200,2025-01-27 00:00:00+0200,0,,,,,0,ok_no_data,,,early_late_count_min_max_days,
44,044,e2569598-0fd8-4d72-a20e-378428f477a0,3,3,calls,late_window,1756674000000,1757278800000,2025-09-01 00:00:00+0300,2025-09-08 00:00:00+0300,0,,,,,0,ok_no_data,,,early_late_count_min_max_days,
44,044,e2569598-0fd8-4d72-a20e-378428f477a0,3,3,calls,full_T1_T2_window,1737324000000,1757365199999,2025-01-20,2025-09-08,0,,,,,,skipped_long_full_window,full_window_guard,full window span >45 days skipped to avoid long-running query,full_window_span_guard,"intentional safety skip, not a DB error"
44,044,e2569598-0fd8-4d72-a20e-378428f477a0,3,3,messages,early_window,1737324000000,1737928800000,2025-01-20 00:00:00+0200,2025-01-27 00:00:00+0200,0,,,,,0,ok_no_data,,,early_late_count_min_max_days,
44,044,e2569598-0fd8-4d72-a20e-378428f477a0,3,3,messages,late_window,1756674000000,1757278800000,2025-09-01 00:00:00+0300,2025-09-08 00:00:00+0300,0,,,,,0,ok_no_data,,,early_late_count_min_max_days,
44,044,e2569598-0fd8-4d72-a20e-378428f477a0,3,3,messages,full_T1_T2_window,1737324000000,1757365199999,2025-01-20,2025-09-08,0,,,,,,skipped_long_full_window,full_window_guard,full window span >45 days skipped to avoid long-running query,full_window_span_guard,"intentional safety skip, not a DB error"
44,044,e2569598-0fd8-4d72-a20e-378428f477a0,3,3,locations,early_window,1737324000000,1737928800000,2025-01-20 00:00:00+0200,2025-01-27 00:00:00+0200,0,,,,,0,ok_no_data,,,early_late_count_min_max_days,
44,044,e2569598-0fd8-4d72-a20e-378428f477a0,3,3,locations,late_window,1756674000000,1757278800000,2025-09-01 00:00:00+0300,2025-09-08 00:00:00+0300,0,,,,,0,ok_no_data,,,early_late_count_min_max_days,
44,044,e2569598-0fd8-4d72-a20e-378428f477a0,3,3,locations,full_T1_T2_window,1737324000000,1757365199999,2025-01-20,2025-09-08,0,,,,,,skipped_long_full_window,full_window_guard,full window span >45 days skipped to avoid long-running query,full_window_span_guard,"intentional safety skip, not a DB error"
